"DAM","Channel","Trt","HrsAtDeath","Status"
37,6,"no_yeast",69.8,0
37,7,"no_yeast",20.1,1
37,8,"no_yeast",62.3166666666667,1
37,9,"no_yeast",45.4166666666667,1
37,10,"no_yeast",37.45,1
37,11,"no_yeast",39.35,1
37,12,"no_yeast",69.8,0
37,13,"no_yeast",62.7833333333333,1
37,14,"no_yeast",33.35,1
37,15,"no_yeast",30.8833333333333,1
37,16,"no_yeast",33.3166666666667,1
37,17,"no_yeast",56.25,1
37,18,"no_yeast",41.1,1
37,19,"no_yeast",47.8166666666667,1
37,20,"no_yeast",43.2333333333333,1
37,21,"no_yeast",69.8,0
37,22,"no_yeast",40.4333333333333,1
37,23,"no_yeast",58.5666666666667,1
37,24,"no_yeast",49.4,1
37,25,"no_yeast",47.8,1
37,26,"no_yeast",28.9833333333333,1
37,27,"no_yeast",37.8333333333333,1
37,28,"no_yeast",46.4666666666667,1
37,29,"no_yeast",30.25,1
37,30,"no_yeast",61.2166666666667,1
37,31,"no_yeast",33.65,1
37,32,"no_yeast",69.8,0
