"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"1","Trt=TPHCont",20.6833333333333,56,1,0.982142857142857,0.0176969858743771,0.94806273279056,1
"2","Trt=TPHCont",23.8333333333333,55,1,0.964285714285714,0.0247987526724791,0.916885682704967,1
"3","Trt=TPHCont",25.8166666666667,54,1,0.946428571428571,0.0300896074287894,0.889253879097392,1
"4","Trt=TPHCont",28.3,53,1,0.928571428571429,0.0344151468449797,0.863510630640401,0.998534201391037
"5","Trt=TPHCont",29.6666666666667,52,1,0.910714285714286,0.0381055337915552,0.839009174835871,0.988547604817708
"6","Trt=TPHCont",30.25,51,1,0.892857142857143,0.0413312544541318,0.815415574862874,0.977653483850958
"7","Trt=TPHCont",30.95,50,1,0.875,0.0441941738241592,0.792530313938929,0.966051375618419
"8","Trt=TPHCont",31.6166666666667,49,1,0.857142857142857,0.0467609764791412,0.770222780051545,0.953871914177678
"9","Trt=TPHCont",32,48,1,0.839285714285714,0.049078145427477,0.748401922484353,0.941206174171484
"10","Trt=TPHCont",32.1166666666667,47,1,0.821428571428571,0.0511795985911706,0.727001292991683,0.928120629858223
"11","Trt=TPHCont",33.2833333333333,46,1,0.803571428571428,0.0530909576231311,0.705970684228555,0.914665516914403
"12","Trt=TPHCont",34.8166666666667,45,1,0.785714285714285,0.0548321052556242,0.685271120717271,0.900879841732328
"13","Trt=TPHCont",35.4,44,1,0.767857142857143,0.0564188024351951,0.664871691429744,0.886794549139016
"14","Trt=TPHCont",38.95,43,1,0.75,0.0578637562357844,0.644747458051773,0.872434614476341
"15","Trt=TPHCont",39.7,42,1,0.732142857142857,0.0591773505595002,0.624878023629317,0.857820475349738
"16","Trt=TPHCont",41.0666666666667,41,1,0.714285714285714,0.0603681610520369,0.605246523743225,0.842969040907877
"17","Trt=TPHCont",41.85,40,1,0.696428571428571,0.0614433270128037,0.585838897650633,0.827894421225816
"18","Trt=TPHCont",41.9166666666667,39,1,0.678571428571428,0.0624088256261483,0.566643350605334,0.81260846559228
"19","Trt=TPHCont",42.3666666666667,38,1,0.660714285714285,0.063269677679775,0.547649950220218,0.79712116685375
"20","Trt=TPHCont",45.3333333333333,37,1,0.642857142857143,0.0640301040714853,0.528850319053588,0.781440969652838
"21","Trt=TPHCont",47,36,1,0.625,0.0646936461883457,0.510237397773593,0.765575008230445
"22","Trt=TPHCont",48.4,35,1,0.607142857142857,0.0652632592115614,0.491805261144383,0.749529291577409
"23","Trt=TPHCont",52.7333333333333,34,1,0.589285714285714,0.0657413847186308,0.473548974323317,0.733308848482762
"24","Trt=TPHCont",53.4833333333333,33,1,0.571428571428571,0.0661300071266108,0.455464480530218,0.716917841463235
"25","Trt=TPHCont",53.85,32,1,0.553571428571428,0.0664306972448968,0.43754851363752,0.700359656082567
"26","Trt=TPHCont",57.9833333333333,31,1,0.535714285714286,0.0666446452939445,0.419798531003678,0.683636970411059
"27","Trt=TPHCont",58.8666666666667,30,1,0.517857142857143,0.0667726850763335,0.402212663168384,0.666751808099818
"28","Trt=TPHCont",59.6333333333333,29,1,0.5,0.0668153104781061,0.384789678003403,0.649705577595532
"29","Trt=TPHCont",59.8333333333333,28,1,0.482142857142857,0.0667726850763335,0.367528957673414,0.632499099296668
"30","Trt=TPHCont",61.9333333333333,27,1,0.464285714285714,0.0666446452939445,0.350430487382309,0.615132621878944
"31","Trt=TPHCont",62.4833333333333,26,1,0.446428571428571,0.0664306972448968,0.333494855417807,0.597605828545905
"32","Trt=TPHCont",66.5333333333333,25,1,0.428571428571428,0.0661300071266108,0.316723264506075,0.579917833551606
"33","Trt=TPHCont",66.5666666666667,24,1,0.410714285714286,0.0657413847186309,0.300117554988413,0.562067168967536
"34","Trt=TPHCont",67.4666666666667,23,1,0.392857142857143,0.0652632592115614,0.28368024087432,0.544051761300689
"35","Trt=TPHCont",67.5333333333333,22,1,0.375,0.0646936461883457,0.26741456045528,0.525868897193117
"36","Trt=TPHCont",71.2333333333333,21,1,0.357142857142857,0.0640301040714854,0.251324543938881,0.507515177026173
"37","Trt=TPHCont",72.3,20,1,0.339285714285714,0.063269677679775,0.235415101561294,0.488986454797995
"38","Trt=TPHCont",73.0333333333333,19,1,0.321428571428571,0.0624088256261483,0.219692136968397,0.470277762127983
"39","Trt=TPHCont",73.15,18,1,0.303571428571428,0.0614433270128037,0.204162692485985,0.451383213665367
"40","Trt=TPHCont",73.9166666666667,17,1,0.285714285714286,0.0603681610520369,0.188835135477504,0.432295890565077
"41","Trt=TPHCont",76.8333333333333,16,1,0.267857142857143,0.0591773505595002,0.173719398705161,0.413007698129111
"42","Trt=TPHCont",77.3666666666667,15,1,0.25,0.0578637562357844,0.158827293097006,0.393509193421983
"43","Trt=TPHCont",78.7666666666667,14,1,0.232142857142857,0.0564188024351951,0.14417291962028,0.373789379200923
"44","Trt=TPHCont",79.0833333333333,13,1,0.214285714285714,0.0548321052556242,0.12977321984526,0.353835463138629
"45","Trt=TPHCont",79.9166666666667,12,1,0.196428571428571,0.0530909576231311,0.115648725382814,0.333632589081723
"46","Trt=TPHCont",80.4166666666667,11,1,0.178571428571429,0.0511795985911706,0.101824600419919,0.313163567257201
"47","Trt=TPHCont",81.4833333333333,10,1,0.160714285714286,0.049078145427477,0.0883321300088881,0.292408681077362
"48","Trt=TPHCont",82.0333333333333,9,1,0.142857142857143,0.0467609764791412,0.0752109115974467,0.271345777252871
"49","Trt=TPHCont",82.6,8,1,0.125,0.0441941738241592,0.0625122054657012,0.249951187669631
