"strata","time","n.risk","n.event","surv","std.err","lower","upper"
"Trt=CsMinus",28.7833333333333,63,1,0.984126984126984,0.0157465356432348,0.953743254850781,1
"Trt=CsMinus",36.8,62,1,0.968253968253968,0.0220886457992479,0.925914618303164,1
"Trt=CsMinus",45.05,61,1,0.952380952380952,0.0268302938009053,0.901219985442773,1
"Trt=CsMinus",45.3333333333333,60,1,0.936507936507936,0.0307216952878331,0.878189423504249,0.998699246049516
"Trt=CsMinus",50.1166666666667,59,1,0.920634920634921,0.0340555716585603,0.856249458928724,0.989861830865133
"Trt=CsMinus",50.4333333333333,58,1,0.904761904761905,0.0369830077784582,0.835104126021852,0.980229984263028
"Trt=CsMinus",51.6666666666667,57,1,0.888888888888889,0.0395942580610999,0.814576632184225,0.969980509594864
"Trt=CsMinus",52.7166666666667,56,1,0.873015873015873,0.0419484109614863,0.794551236008317,0.959229159804225
"Trt=CsMinus",54.6166666666667,55,1,0.857142857142857,0.0440866714177405,0.774947224499815,0.948056660278026
"Trt=CsMinus",56.1333333333333,54,1,0.841269841269841,0.0460391302580229,0.755705651309398,0.936521970695739
"Trt=CsMinus",56.3,53,1,0.825396825396825,0.047828547300246,0.736781925739848,0.924669696112648
"Trt=CsMinus",57.7666666666667,52,1,0.809523809523809,0.0494726172999352,0.718141374002617,0.91253452580432
"Trt=CsMinus",57.9166666666667,51,1,0.793650793650793,0.0509854027333032,0.699756432638229,0.900144039959374
"Trt=CsMinus",58.3333333333333,50,1,0.777777777777778,0.0523782800878924,0.681604794917372,0.887520563405473
"Trt=CsMinus",61.8666666666667,49,1,0.761904761904762,0.0536605876018106,0.663668142031396,0.874682434561836
"Trt=CsMinus",61.8833333333333,48,1,0.746031746031746,0.0548400820777537,0.645931248230886,0.861644900461966
"Trt=CsMinus",62.9,47,1,0.73015873015873,0.055923269276172,0.628381333550599,0.848420764211131
"Trt=CsMinus",63.5666666666667,46,1,0.714285714285714,0.0569156480635425,0.611007585418709,0.835020863583915
"Trt=CsMinus",64.2666666666667,45,1,0.698412698412698,0.0578218941765843,0.593800798490598,0.821454431425508
"Trt=CsMinus",64.9166666666667,44,1,0.682539682539682,0.0586460007294658,0.57675309915538,0.807729371413166
"Trt=CsMinus",65,43,1,0.666666666666666,0.0593913870916498,0.559857731934877,0.793852471963614
"Trt=CsMinus",66.15,42,1,0.65079365079365,0.0600609842035342,0.543108891967956,0.779829574100062
"Trt=CsMinus",66.2166666666667,41,1,0.634920634920635,0.06065730203398,0.526501592400399,0.765665704466569
"Trt=CsMinus",66.2333333333333,40,1,0.619047619047619,0.0611824832799639,0.510031558640331,0.751365181539224
"Trt=CsMinus",67.2,39,1,0.603174603174603,0.0616383462974304,0.493695143613649,0.736931700911269
"Trt=CsMinus",67.7833333333333,38,1,0.587301587301587,0.0620264194676603,0.477489259688572,0.722368403997044
"Trt=CsMinus",68.3666666666667,37,1,0.571428571428571,0.0623479686388549,0.461411324041368,0.70767793339988
"Trt=CsMinus",72.5333333333333,36,1,0.555555555555555,0.062604018868779,0.445459215042346,0.692862477385953
"Trt=CsMinus",72.7333333333333,35,1,0.539682539682539,0.062795371384924,0.429631237842725,0.677923805309558
"Trt=CsMinus",73.0333333333333,34,1,0.523809523809524,0.0629226164422295,0.413926097800613,0.662863295384014
"Trt=CsMinus",74.7,33,1,0.507936507936508,0.0629861425729392,0.398342880740697,0.647681955844166
"Trt=CsMinus",75.0166666666667,32,1,0.492063492063492,0.0629861425729392,0.382881039327913,0.632380440271299
"Trt=CsMinus",75.3333333333333,31,1,0.476190476190476,0.0629226164422295,0.36754038507256,0.616959057627764
"Trt=CsMinus",75.9833333333333,30,1,0.46031746031746,0.062795371384924,0.352321085690249,0.601417777360638
"Trt=CsMinus",76.25,29,1,0.444444444444444,0.062604018868779,0.337223667728482,0.585756229769062
"Trt=CsMinus",76.6,28,1,0.428571428571428,0.0623479686388549,0.322249024554721,0.569973701678546
"Trt=CsMinus",76.6166666666667,27,1,0.412698412698413,0.0620264194676603,0.307398429989986,0.554069127319023
"Trt=CsMinus",77.4833333333333,26,1,0.396825396825397,0.0616383462974304,0.292673558079566,0.538041074154106
"Trt=CsMinus",80.1833333333333,25,1,0.380952380952381,0.0611824832799639,0.278076509732404,0.521887723249055
"Trt=CsMinus",81.4333333333333,24,1,0.365079365079365,0.06065730203398,0.263609847250582,0.505606843586751
"Trt=CsMinus",82.8666666666667,23,1,0.349206349206349,0.0600609842035342,0.249276638133122,0.489195759535652
"Trt=CsMinus",83.4833333333333,22,1,0.333333333333333,0.0593913870916499,0.235080510005448,0.472651310432055
"Trt=CsMinus",83.75,21,1,0.317460317460317,0.0586460007294658,0.221025719141698,0.455969800950609
"Trt=CsMinus",84.05,20,1,0.301587301587301,0.0578218941765843,0.207117235875701,0.439146940592116
"Trt=CsMinus",84.4,19,1,0.285714285714286,0.0569156480635425,0.193360851332501,0.422177770208768
"Trt=CsMinus",84.5833333333333,18,1,0.26984126984127,0.055923269276172,0.179763311498445,0.405056573015895
"Trt=CsMinus",85.9833333333333,17,1,0.253968253968254,0.0548400820777537,0.166332486903719,0.387776767030598
"Trt=CsMinus",86.65,16,1,0.238095238095238,0.0536605876018105,0.153077589462453,0.370330775410681
"Trt=CsMinus",88.4833333333333,15,1,0.222222222222222,0.0523782800878924,0.140009452859649,0.352709870946255
"Trt=CsMinus",88.85,14,1,0.206349206349206,0.0509854027333032,0.127140900214183,0.33490399147101
"Trt=CsMinus",89.95,13,1,0.19047619047619,0.0494726172999352,0.114487234157273,0.316901525356809
